Price_Period,Town,Super,Diesel,Kerosene,lat,lon
15-Jan-2022 - 14-Feb-2022,Mombasa,127.46,108.36,101.29,-4.05052,39.667169
15-Jan-2022 - 14-Feb-2022,Kilifi,128.17,109.07,102.01,-3.15073925,39.67507159193717
15-Jan-2022 - 14-Feb-2022,Likoni,127.82,108.71,101.65,-4.1027192,39.64540380366174
15-Jan-2022 - 14-Feb-2022,Kwale,127.82,108.71,101.65,-4.1836067,39.105094975232994
15-Jan-2022 - 14-Feb-2022,Malindi,128.39,109.27,102.21,-3.2165987,40.1165933
15-Jan-2022 - 14-Feb-2022,Lungalunga,128.53,109.43,102.36,-1.3113519500000002,36.873488656395146
15-Jan-2022 - 14-Feb-2022,Voi,128.94,109.84,102.76,-3.5592753000000004,38.80360488752321
15-Jan-2022 - 14-Feb-2022,Taveta,130.36,111.24,104.18,-3.559095,37.945535980061464
15-Jan-2022 - 14-Feb-2022,Lamu,130.77,111.65,104.59,-2.2675396,40.9010641
15-Jan-2022 - 14-Feb-2022,Hola,131.05,111.94,104.88,-1.4976808,40.034911
15-Jan-2022 - 14-Feb-2022,Nairobi,129.72,110.6,103.54,-1.3026148499999999,36.82884201813725
15-Jan-2022 - 14-Feb-2022,Thika,129.72,110.6,103.54,-1.036648,37.077523
15-Jan-2022 - 14-Feb-2022,Machakos,129.95,110.84,103.78,-1.27900465,37.39526976452546
15-Jan-2022 - 14-Feb-2022,Kajiado,130.13,111.01,103.95,-2.12171705,36.78625503675998
15-Jan-2022 - 14-Feb-2022,Makuyu,130.0,110.88,103.82,-0.900584,37.186523
15-Jan-2022 - 14-Feb-2022,Muranga,130.24,111.12,104.06,-0.83170875,37.00492162779861
15-Jan-2022 - 14-Feb-2022,Sagana,130.45,111.34,104.27,-0.666531,37.208151
15-Jan-2022 - 14-Feb-2022,Embu,130.82,111.7,104.64,-0.5359479,37.6652884382665
15-Jan-2022 - 14-Feb-2022,Kerugoya,130.73,111.63,104.57,-0.49633,37.278584
15-Jan-2022 - 14-Feb-2022,Narok,131.1,111.99,104.92,-1.2779365500000002,35.47742284932569
15-Jan-2022 - 14-Feb-2022,Nyeri,131.09,111.97,104.91,-0.4192962,36.9517005
15-Jan-2022 - 14-Feb-2022,Namanga,131.25,112.15,105.07,-2.5480008,36.7926632
15-Jan-2022 - 14-Feb-2022,Kiganjo,131.05,111.93,104.87,-0.39311,37.001968
15-Jan-2022 - 14-Feb-2022,Chuka,131.35,112.23,105.17,-0.2252218,37.4232635023588
15-Jan-2022 - 14-Feb-2022,Kitui,131.24,112.13,105.06,-1.5642219499999999,38.372811618864006
15-Jan-2022 - 14-Feb-2022,Mwingi,131.63,112.51,105.45,-0.9333,38.0666
15-Jan-2022 - 14-Feb-2022,Nanyuki,131.64,112.54,105.46,0.01403,37.074632
15-Jan-2022 - 14-Feb-2022,Nkubu,132.61,113.5,106.43,-0.0662965,37.6642253
15-Jan-2022 - 14-Feb-2022,Mtito Andei,132.15,113.03,105.97,-2.6893166,38.1682147
15-Jan-2022 - 14-Feb-2022,Meru,132.81,113.69,106.63,0.0499786,37.6500063
15-Jan-2022 - 14-Feb-2022,Isiolo,132.67,113.55,106.49,1.0060600499999999,38.74789538540634
15-Jan-2022 - 14-Feb-2022,Maua,133.26,114.15,107.08,0.232643,37.938023
15-Jan-2022 - 14-Feb-2022,Garissa,133.88,114.77,107.71,-0.52363325,40.35640534962073
15-Jan-2022 - 14-Feb-2022,Marsabit,137.57,118.45,111.39,2.85795825,37.715489185900395
15-Jan-2022 - 14-Feb-2022,Liboi,136.65,117.54,110.47,0.4002038,40.9520422
15-Jan-2022 - 14-Feb-2022,Moyale,139.15,120.03,112.97,2.86885305,38.83203237871054
15-Jan-2022 - 14-Feb-2022,Sololo,138.2,119.09,112.03,3.562807,38.6436056
15-Jan-2022 - 14-Feb-2022,Habaswein,136.57,117.46,110.4,1.0162202,39.4928911
15-Jan-2022 - 14-Feb-2022,Dadaab,135.27,116.15,109.09,0.09486810000000001,40.281396194924355
15-Jan-2022 - 14-Feb-2022,Tarbaj,138.82,119.71,112.64,2.46592945,40.18956296029775
15-Jan-2022 - 14-Feb-2022,Elwak,140.42,121.32,114.25,2.92581015,41.01969295420204
15-Jan-2022 - 14-Feb-2022,Wajir,138.97,119.87,112.8,1.9394402,40.02473595061957
15-Jan-2022 - 14-Feb-2022,Modogashe,136.72,117.6,110.54,-0.3790417,39.712312
15-Jan-2022 - 14-Feb-2022,Mandera,142.75,123.64,116.58,3.2285332,40.705615316515406
15-Jan-2022 - 14-Feb-2022,Nakuru,129.24,110.43,103.39,-0.2802724,36.0712048
15-Jan-2022 - 14-Feb-2022,Gilgil,129.21,110.39,103.36,-0.54143035,36.23616458551074
15-Jan-2022 - 14-Feb-2022,Mogotio,129.2,110.38,103.33,0.16322755,35.94667690937922
15-Jan-2022 - 14-Feb-2022,Molo,129.29,110.46,103.43,-0.35471985,35.79163929322296
15-Jan-2022 - 14-Feb-2022,Olenguruone,129.99,111.16,104.13,-0.0769487,35.6710647
15-Jan-2022 - 14-Feb-2022,Londiani,129.5,110.69,103.65,-0.1673204,35.5914203
15-Jan-2022 - 14-Feb-2022,Nyahururu,129.49,110.68,103.64,0.0333,36.3666
15-Jan-2022 - 14-Feb-2022,Archers Post,132.48,113.66,106.63,0.638492,37.66707
15-Jan-2022 - 14-Feb-2022,Lodosoit,133.57,114.76,107.72,1.35,37.5666
15-Jan-2022 - 14-Feb-2022,Naivasha,129.57,110.75,103.71,-0.8870395,36.36487730618629
15-Jan-2022 - 14-Feb-2022,Marigat,129.97,111.15,104.11,0.43855299999999997,36.03507458130635
15-Jan-2022 - 14-Feb-2022,Kabarnet ,130.46,111.64,104.61,0.496524,35.743139
15-Jan-2022 - 14-Feb-2022,Maralal,131.54,112.73,105.69,1.1,36.7
15-Jan-2022 - 14-Feb-2022,Eldoret,130.13,111.32,104.27,0.5198329,35.2715481
15-Jan-2022 - 14-Feb-2022,Kiplombe,130.13,111.32,104.27,0.60259065,35.23449640623591
15-Jan-2022 - 14-Feb-2022,Iten,130.13,111.32,104.27,0.6730702,35.5102633
15-Jan-2022 - 14-Feb-2022,Naiberi,130.13,111.32,104.27,0.45874755,35.39721440655103
15-Jan-2022 - 14-Feb-2022,Kesses,130.13,111.32,104.27,0.25966,35.34588313919592
15-Jan-2022 - 14-Feb-2022,Kapsabet,130.14,111.34,104.28,0.2004978,35.1011501
15-Jan-2022 - 14-Feb-2022,Webuye,130.55,111.75,104.7,0.607628,34.7687756
15-Jan-2022 - 14-Feb-2022,Kitale,130.49,111.68,104.63,1.018076,35.000236
15-Jan-2022 - 14-Feb-2022,Kapenguria ,131.12,112.32,105.27,1.2522515,35.0909919
15-Jan-2022 - 14-Feb-2022,Bungoma,130.9,112.08,105.04,0.78292445,34.71916810731902
15-Jan-2022 - 14-Feb-2022,Moiben,130.14,111.34,104.28,0.72163215,35.399004662950034
